BRAND,Type,Link,Reward,Category
Kiwi.com,Popular routes widget,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&locale=fr&powered_by=true&limit=4&primary_color=00AE98&results_background_color=FFFFFF&form_background_color=FFFFFF&campaign_id=111&promo_id=3411"" charset=""utf-8""></script>",3%,Flights
Kiwi.com,Flight Search Form,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&locale=fr&default_origin=PAR&default_destination=BKK&stops=any&show_hotels=true&powered_by=true&border_radius=0&plain=true&color_button=%2300A991&color_button_text=%23ffffff&promo_id=3414&campaign_id=111"" charset=""utf-8""></script>",3%,Flights
Kiwi.com,Search Results Widget,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&powered_by=true&locale=fr&show_header=true&limit=3&primary_color=00AE98&results_background_color=FFFFFF&form_background_color=FFFFFF&campaign_id=111&promo_id=4478"" charset=""utf-8""></script>",3%,Flights
Kiwi.com,Specific Route Widget,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&powered_by=true&locale=fr&from_name=paris_fr&to_name=bangkok_th&campaign_id=111&promo_id=4484"" charset=""utf-8""></script>",3%,Flights
Kiwi.com,Popular destination widget,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&locale=fr&powered_by=true&limit=4&primary_color=00AE98&results_background_color=FFFFFF&form_background_color=FFFFFF&promo_id=4563&campaign_id=111"" charset=""utf-8""></script>",3%,Flights
Airalo.com,Esim Search Form,"<script async src=""https://trpwdg.com/content?trs=463418&shmarker=676421&locale=en&powered_by=true&color_button=%23f2685f&color_focused=%23f2685f&secondary=%23FFFFFF&dark=%2311100f&light=%23FFFFFF&special=%23C4C4C4&border_radius=5&plain=false&no_labels=true&promo_id=8588&campaign_id=541"" charset=""utf-8""></script>",12%,SIM-cards
aviasels.com,Flight Search Form,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&show_hotels=true&powered_by=true&locale=fr&searchUrl=www.aviasales.com%2Fsearch&primary_override=%2332a8dd&color_button=%23f2685f&color_icons=%2332a8dd&dark=%2311100f&light=%23FFFFFF&secondary=%23FFFFFF&special=%23C4C4C4&color_focused=%23f2685f&border_radius=5&no_labels=true&plain=false&promo_id=7879&campaign_id=100"" charset=""utf-8""></script>",40%,Flights
aviasels.com,Schedule Widget,"<script async src=""https://trpwdg.com/content?currency=usd&trs=463418&shmarker=676421&color_button=%23FF0000&target_host=www.aviasales.com%2Fsearch&locale=en&powered_by=true&origin=LON&destination=BKK&with_fallback=false&non_direct_flights=true&min_lines=5&border_radius=5&color_background=%23FFFFFF&color_text=%23000000&color_border=%23FFFFFF&promo_id=2811&campaign_id=100"" charset=""utf-8""></script>",40%,Flights
http://aviasels.com/,"Pricing Calendar Widget
","<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&searchUrl=www.aviasales.com%2Fsearch&locale=fr&powered_by=true&origin=LON&destination=BKK&one_way=false&only_direct=false&period=year&range=7%2C14&primary=%230C73FE&color_background=%23FFFFFF&dark=%23000000&light=%23FFFFFF&achieve=%2345AD35&promo_id=4041&campaign_id=100"" charset=""utf-8""></script>",40%,Flights
http://aviasels.com/,Popular routes widget,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&target_host=www.aviasales.com%2Fsearch&locale=fr&limit=6&powered_by=true&primary=%230085FF&promo_id=4044&campaign_id=100"" charset=""utf-8""></script>",40%,Flights
http://aviasels.com/,"Prices on Map Widget
","<script async src=""https://trpwdg.com/content?currency=usd&trs=463418&shmarker=676421&lat=51.51&lng=0.06&powered_by=true&search_host=www.aviasales.com%2Fsearch&locale=en&origin=LON&value_min=0&value_max=1000000&round_trip=true&only_direct=false&radius=1&draggable=true&disable_zoom=false&show_logo=false&scrollwheel=false&primary=%233FABDB&secondary=%233FABDB&light=%23ffffff&width=1500&height=500&zoom=2&promo_id=4054&campaign_id=100"" charset=""utf-8""></script>",40%,Flights
http://hotellok.com,Hotels Search Form,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&show_hotels=true&powered_by=true&locale=fr&searchUrl=search.hotellook.com&primary_override=%23FF8E01&color_button=%23FF8E01&color_icons=%23FF8E01&secondary=%233FABDB&dark=%23262626&light=%23ffffff&special=%23C4C4C4&color_focused=%23FF8E01&border_radius=5&plain=false&promo_id=7873&campaign_id=101"" charset=""utf-8""></script>",40%,Hotels & Accomodations
http://hotellok.com,Hotels & Accomodations,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&host=search.hotellook.com&locale=fr&nobooking=&powered_by=true&width=940&primary=%23ff8e00&special=%23e0e0e0&promo_id=4063&campaign_id=101"" charset=""utf-8""></script>",40%,Hotels & Accomodations
http://hotellok.com,Hotels & Accomodations,"<script async src=""https://trpwdg.com/content?currency=eur&trs=463418&shmarker=676421&search_host=search.hotellook.com&locale=fr&powered_by=true&draggable=true&disable_zoom=false&show_logo=true&scrollwheel=false&color=%2307AF61&contrast_color=%23ffffff&width=1000&height=500&lat=7.893587&lng=98.29682&zoom=14&radius=60&stars=0&rating_from=0&rating_to=10&promo_id=4285&campaign_id=101"" charset=""utf-8""></script>",40%,Hotels & Accomodations